id,title,original_title,overview,genres,release_date,vote_average,vote_count,popularity,runtime,budget,revenue,keywords,cast,crew,combined_features
2086,Nick of Time,Nick of Time,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",Unknown,1995-11-22,6.1,190.0,6.848591,90.0,8169363,8175346.0,,,,nick of time gene watson is a public accountant who arrives on a train at union station in los angeles  accompanied by his 6 year old daughter lynn  because of his ordinary looks  he is approached by a pair of sinister people named smith and jones  unknown
2045,Unforgettable,Unforgettable,"Ray Liotta stars as a medical examiner who has been acquitted for his wife's murder but many still question his innocence. Obsessed with finding his wife's killer, a possible solution presents itself in an experimental serum designed by a neurobiology Linda Fiorentino which has the ability to transfer memories from one person to another, but not without consequences. Liotta driven to solve the case injects himself with the serum, bringing him closer and closer to finding her killer but bringing him closer to death.",Unknown,1996-02-23,5.3,22.0,2.464425,106.0,18000000,0.0,,,,unforgettable ray liotta stars as a medical examiner who has been acquitted for his wife s murder but many still question his innocence  obsessed with finding his wife s killer  a possible solution presents itself in an experimental serum designed by a neurobiology linda fiorentino which has the ability to transfer memories from one person to another  but not without consequences  liotta driven to solve the case injects himself with the serum  bringing him closer and closer to finding her killer but bringing him closer to death  unknown
688,The Bridges of Madison County,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Unknown,1995-05-28,7.3,397.0,5.951077,135.0,24000000,182016617.0,,,,the bridges of madison county photographer robert kincaid wanders into the life of housewife francesca johnson for four days in the 1960s  unknown
103,Taxi Driver,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",Unknown,1976-02-07,8.1,2632.0,14.092713,114.0,1300000,28262574.0,,,,taxi driver a mentally unstable vietnam war veteran works as a night time taxi driver in new york city where the perceived decadence and sleaze feeds his urge for violent action  attempting to save a preadolescent prostitute in the process  unknown
2074,Flirting with Disaster,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",Unknown,1996-03-22,6.3,66.0,5.579088,92.0,7000000,14702438.0,,,,flirting with disaster adopted as a child  new father mel colpin  ben stiller  decides he cannot name his son until he knows his birth parents  and determines to make a cross country quest to find them  accompanied by his wife  nancy  patricia arquette   and an inept yet gorgeous adoption agent  tina  tea leoni   he departs on an epic road trip that quickly devolves into a farce of mistaken identities  wrong turns  and overzealous and love struck atf agents  josh brolin  richard jenkins   unknown
27793,The Neverending Story III: Escape from Fantasia,The NeverEnding Story III,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,Unknown,1994-10-26,4.4,105.0,6.252377,95.0,17000000,0.0,,,,the neverending story iii  escape from fantasia a young boy must restore order when a group of bullies steal the magical book that acts as a portal between earth and the imaginary world of fantasia  unknown
568,Apollo 13,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",Unknown,1995-06-30,7.3,1637.0,18.761467,140.0,52000000,355237933.0,,,,apollo 13 the true story of technical troubles that scuttle the apollo 13 lunar mission in 1971  risking the lives of astronaut jim lovell and his crew  with the failed journey turning into a thrilling saga of heroism  drifting more than 200 000 miles from earth  the astronauts work furiously with the ground crew to avert tragedy  unknown
414,Batman Forever,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",Unknown,1995-06-16,5.2,1529.0,13.321354,121.0,100000000,336529144.0,,,,batman forever the dark knight of gotham city confronts a dastardly duo  two face and the riddler  formerly district attorney harvey dent  two face believes batman caused the courtroom accident which left him disfigured on one side  and edward nygma  computer genius and former employee of millionaire bruce wayne  is out to get the philanthropist  as the riddler  former circus acrobat dick grayson  his family killed by two face  becomes wayne s ward and batman s new partner robin  unknown
1873,Beyond Rangoon,Beyond Rangoon,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",Unknown,1995-05-24,6.4,21.0,2.04189,100.0,0,0.0,,,,beyond rangoon patricia arquette stars as american widow laura bowman  a young doctor who s unwittingly drawn into political turmoil while vacationing in burma in the late 1980s  in this fictionalized drama based on actual events  bowman initially left san francisco with her sister  frances mcdormand  in an attempt to escape painful memories of her husband and son s violent deaths  but her fight to escape to thailand could prove just as harrowing  unknown
8839,Casper,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",Unknown,1995-05-26,6.0,1045.0,12.812539,100.0,50000000,287928194.0,,,,casper furious that her late father only willed her his gloomy looking mansion rather than his millions  carrigan crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house  but when she enters the rickety mansion to seek her claim  she is frightened away by a wicked wave of ghosts  determined to get her hands on this hidden fortune  she hires afterlife therapist dr  james harvey to exorcise the ghosts from the mansion  harvey and his daughter kat move in  and soon kat meets casper  the ghost of a young boy who s  the friendliest ghost you know   but not so friendly are casper s uncles  stretch  fatso and stinkie  who are determined to drive all  fleshies  away  unknown
8963,Crimson Tide,Crimson Tide,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",Unknown,1995-05-12,7.0,508.0,8.657365,116.0,53000000,157387195.0,,,,crimson tide on a us nuclear missile sub  a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so  unknown
26564,Crumb,Crumb,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",Unknown,1994-09-10,7.6,71.0,3.620388,119.0,0,3174695.0,,,,crumb this movie chronicles the life and times of r  crumb  robert crumb is the cartoonist artist who drew keep on truckin   fritz the cat  and played a major pioneering role in the genesis of underground comix  through interviews with his mother  two brothers  wife  and ex girlfriends  as well as selections from his vast quantity of graphic art  we are treated to a darkly comic ride through one man s subconscious mind  unknown
1572,Die Hard: With a Vengeance,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",Unknown,1995-05-19,6.9,2094.0,15.138855,128.0,90000000,366101666.0,,,,die hard  with a vengeance new york detective john mcclane is back and kicking bad guy butt in the third installment of this action packed series  which finds him teaming with civilian zeus carver to prevent the loss of innocent lives  mcclane thought he d seen it all  until a genius named simon engages mcclane  his new  partner     and his beloved city    in a deadly game that demands their concentration  unknown
8973,Lord of Illusions,Lord of Illusions,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",Unknown,1995-08-25,5.9,87.0,4.102409,119.0,0,0.0,,,,lord of illusions during a routine case in l a   ny private investigator harry d amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader nix  a powerful magician who was killed 13 years earlier  unknown
1642,The Net,The Net,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",Unknown,1995-07-28,5.6,359.0,13.304342,114.0,22000000,110627965.0,,,,the net angela bennett is a freelance software engineer who lives in a world of computer technology  when a cyber friend asks bennett to debug a new game  she inadvertently becomes involved in a conspiracy that will soon turn her life upside down  while on vacation in mexico  her purse is stolen  she soon finds that people and events may not be what they seem as she becomes the target of an assassination  her vacation is ruined   she gets a new passport at the u s  embassy in mexico but it has the wrong name  ruth marx  when she returns to the u s  to sort things out  she discovers that ruth marx has an unsavory past and a lengthy  police record  to make matters worse  another person has assumed her real identity     unknown
281,Strange Days,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",Unknown,1995-10-13,6.8,334.0,11.223055,145.0,42000000,7959291.0,,,,strange days set in the year 1999 during the last days of the old millennium  the movie tells the story of lenny nero  an ex cop who now deals with data discs containing recorded memories and emotions  one day he receives a disc which contains the memories of a murderer killing a prostitute  lenny investigates and is pulled deeper and deeper in a whirl of blackmail  murder and rape  will he survive and solve the case  unknown
3512,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",Unknown,1995-07-13,5.6,217.0,7.490247,100.0,60000000,104324083.0,,,,under siege 2  dark territory a passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite  he has planned to blow up washington dc and only one man can stop him  former navy seal casey ryback  unknown
26258,Bushwhacked,Bushwhacked,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.",Unknown,1995-08-04,4.9,29.0,3.287036,90.0,0,0.0,,,,bushwhacked a inept courier realises he has been used by criminals to deliver money  on the run from both the criminals and police  he poses as a scout leader and leads a scout group on a hike through the mountains  unknown
76,Before Sunrise,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",Unknown,1995-01-27,7.7,984.0,11.304979,105.0,2500000,5535405.0,,,,before sunrise a dialogue marathon of a film  this fairytale love story of an american boy and french girl  during a day and a night together in vienna their two hearts collide  unknown
2292,Clerks,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",Unknown,1994-09-13,7.4,769.0,10.513367,92.0,27000,3151130.0,,,,clerks convenience and video store clerks dante and randal are sharp witted  potty mouthed and bored out of their minds  so in between needling customers  the counter jockeys play hockey on the roof  visit a funeral home and deal with their love lives  unknown
1909,Don Juan DeMarco,Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",Unknown,1994-10-01,6.3,184.0,7.438934,97.0,25000000,22200000.0,,,,don juan demarco john arnold demarco is a man who believes he is don juan  the greatest lover in the world  clad in a cape and mask  demarco undergoes psychiatric treatment with dr  jack mickler to cure him of his apparent delusion  but the psychiatric sessions have an unexpected effect on the psychiatric staff and  most profoundly  dr mickler  who rekindles the romance in his complacent marriage  unknown
8984,Disclosure,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",Unknown,1994-12-09,5.9,217.0,11.812244,123.0,55000000,214015089.0,,,,disclosure a computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully  which threatens both his career and his personal life  unknown
4954,Drop Zone,Drop Zone,A team of skydiving crooks led by DEA-agent-turned-bad Ty Moncrief (Busey) specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Pete Nessip (Snipes) lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Jessie Crossmann (Butler) so he can track them down.,Unknown,1994-12-08,5.1,91.0,9.579155,101.0,45000000,0.0,,,,drop zone a team of skydiving crooks led by dea agent turned bad ty moncrief  busey  specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents  files and sell them to drug lords  federal marshal pete nessip  snipes  lost a brother to this crew and learns skydiving with the help of tough but lovable instructor jessie crossmann  butler  so he can track them down  unknown
522,Ed Wood,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",Unknown,1994-09-27,7.3,639.0,11.720358,127.0,18000000,5887457.0,,,,ed wood the mostly true story of the legendary  worst director of all time   who  with the help of his strange friends  filmed countless b movies without ever becoming famous or successful  unknown
1024,Heavenly Creatures,Heavenly Creatures,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.",Unknown,1994-09-02,6.9,299.0,9.438042,99.0,5000000,3049135.0,,,,heavenly creatures based on the true story of juliet hulme and pauline parker  two close friends who share a love of fantasy and literature  who conspire to kill pauline s mother when she tries to end the girls  intense and obsessive relationship  unknown
628,Interview with the Vampire,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",Unknown,1994-11-11,7.2,1558.0,11.970205,123.0,60000000,223664608.0,,,,interview with the vampire a vampire relates his epic life story of love  betrayal  loneliness  and dark hunger to an over curious reporter  unknown
11,Star Wars,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,Unknown,1977-05-25,8.1,6778.0,42.149697,121.0,11000000,775398007.0,,,,star wars princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire  venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2 d2 and c 3po to rescue the beautiful princess and restore peace and justice in the empire  unknown
3036,Mary Shelley's Frankenstein,Frankenstein,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",Unknown,1994-11-04,6.1,272.0,14.287753,123.0,45000000,112006296.0,,,,mary shelley s frankenstein based on mary shelley s novel   frankenstein  tells the story of victor frankenstein  a promising young doctor who  devastated by the death of his mother during childbirth  becomes obsessed with bringing the dead back to life  his experiments lead to the creation of a monster  which frankenstein has put together with the remains of corpses  it s not long before frankenstein regrets his actions  unknown
8986,Milk Money,Milk Money,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession.",Unknown,1994-08-31,5.6,49.0,3.770115,108.0,0,18137661.0,,,,milk money three young boys pool their money and pay v  a kindhearted prostitute  to strip for them  afterward  she drives them home to the suburbs    but then her car breaks down  it s just as well  though  because a mobster named waltzer is after her  and v realizes the suburbs are the perfect place to hide  but things get a lot more complicated when v falls in love with tom  a single father who is unaware of her real profession  unknown
1945,Nell,Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",Unknown,1994-12-23,6.1,128.0,5.930957,112.0,31000000,106683817.0,,,,nell in a remote woodland cabin  a small town doctor discovers nell   a beautiful young hermit woman with many secrets  unknown
241,Natural Born Killers,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Unknown,1994-08-25,6.9,927.0,11.226856,119.0,34000000,50282766.0,,,,natural born killers two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media  unknown
527,Once Were Warriors,Once Were Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",Unknown,1994-09-02,7.6,106.0,4.025276,99.0,0,2201126.0,,,,once were warriors a drama about a maori family lving in auckland  new zealand  lee tamahori tells the story of beth heke s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband  unknown
6950,Outbreak,Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",Unknown,1995-03-10,6.4,522.0,13.676444,127.0,50000000,189859560.0,,,,outbreak a deadly airborne virus finds its way into the usa and starts killing off people at an epidemic rate  col sam daniels  job is to stop the virus spreading from a small town  which must be quarantined  and to prevent an over reaction by the white house  unknown
101,Leon: The Professional,Léon,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",Unknown,1994-09-14,8.2,4293.0,20.477329,110.0,16000000,45284974.0,,,,leon  the professional leon  the top hit man in new york  has earned a rep as an effective  cleaner   but when his next door neighbors are wiped out by a loose cannon dea agent  he becomes the unwilling custodian of 12 year old mathilda  before long  mathilda s thoughts turn to revenge  and she considers following in leon s footsteps  unknown
